file,mal/ben(1/0)
034b32df4d79941f4b445c7e5d15b12b.vir,1
0353c931e267fcd790a116424a47e8d5.vir,1
035b23160bc1c10beee34d1ac8cd3f4a.vir,1
035c0b0539fe89d8915555d23d48d847.vir,0
0365c2bb1fbaa792fca62bbc18ec265f.vir,1
036c1b2769592062e9727a640efe1b1d.vir,0
0380ede72502fa526696dd5a9d209af2.vir,0
038c6f827abc80919371f69f9b8a257b.vir,1
039234fbba29c4befc8e80aa08f912ef.vir,1
039963011ed0678b6d74d7c73e957b89.vir,1
039e063da788962404de12c9d44254f6.vir,0
03a7e777250963cbafe4c0072b4bede6.vir,1
03aad21308c6e0a49af76a382790e2e7.vir,1
03ae929680e9cbe174a58a29ca538249.vir,1
03baa19137bfa3bb439738357bd747a6.vir,0
03d3454b84e25fe007435b2869bde3d7.vir,1
03d953307cabf8f30b8365b4b033943a.vir,1
03db0e22d0ab9415e9951c67c6b60ec1.vir,1
03e6040d67c73fe42af653b7549f1037.vir,1
03e852d38d1352439622b97026ac5d36.vir,0
03ec83cf718573fb05662ffe1246cbb4.vir,1
03ed0342371a7abef2deef3b2afbdbd7.vir,1
03efc4569e2ff7ca0863768fdecedcf8.vir,1
03fa35855c29f37bcf2146b34094f28e.vir,1
03fc76f7ae675622c1570f90ba9d8e6d.vir,1
03fcd2f20ff47fceb833071a8dd23793.vir,0
03fff01a33679339a4d370278fbaa0b1.vir,1
04065f48ea38b2c5a93ebfe73e702e5d.vir,1
04071333debc867a8ac9f28acea2c880.vir,1
04077688345a72fe976c980140e4891a.vir,1
0409112f2f684c2530ae0eb15580dad4.vir,1
040adee40466f9a78265b6b2bcc58fc9.vir,1
040b95568760e5d97aed0e07bb0137c4.vir,0
0418e5140acc318835c9d67d1a4735c2.vir,1
041debe5cf581477279705ac363d970e.vir,1
041df5985247bcb48ee2d5e5b46f4881.vir,1
0421e91913555be20d392924e908f095.vir,0
04345728038f624e598fba5a6d5bf2c1.vir,1
043d3761f1a780eacf3f6bdc811d8388.vir,1
0440edb530b61f4956ed31dcef2b2d6b.vir,1
0442cd859b577f102934e88a28408641.vir,1
0445652c766e7d488f769edeb25d7ba6.vir,0
044ca373868f2bdd11e18928f8b512cf.vir,1
045174ce53dd89b83c3a5d781d058d4c.vir,1
045ab8d1f27935bbde52eb63a8aa1be2.vir,1
045c37ebca91191d0fa0c9c523d6dd6a.vir,1
046c67d9d7f3cbbbebe0922e33abc1bc.vir,0
04734f533520292915980cf2efdd9adc.vir,0
04885bcf83061fa034c65beafdcc7c26.vir,0
04914f4116e46414ac8dc88c5e76f06f.vir,1
0491bbee6ed6c69f8cdf66f4e29601ff.vir,1
049f30d049c139273a5bed1c8c3e9ec3.vir,0
04a7ccf0345fff379e1742bdf1d2034c.vir,0
04ad6a38c2e096690da0469b4e4612d3.vir,0
04bb4e6f9d5a726519e5b74867fc7cc6.vir,1
04bc5262e74d28194961e1da95b788ff.vir,1
04bcf5ccff3189166317c26c8d68e04a.vir,1
04bd7700069e19ce14dab38475c38eca.vir,1
04c266f518738f6bfec689052d333615.vir,1
04c379d26c941ec86e1bfd6f3a0b6b9e.vir,0
04c658042d93ae07ed8cd9f9a2a0b0aa.vir,1
04d5fd8c5f793499b15b43faa478bab7.vir,0
04e0bbafeb240461161d15c5a8541bba.vir,1
04e4209962b70d4b525338ba3d81d387.vir,1
04f16f09bdd6df316b3e525021d2e17e.vir,0
04f72a3af9b33151aa4249ddb2bddc06.vir,1
04f7820380233b81dc043c4e52043cf3.vir,1
04fea7ef1fd8e0353c69c65ac2bd9725.vir,1
050a75308d6b2954b5bd676958e41179.vir,0
050c92602576abe7a4ae1b860017e968.vir,1
0515d7ea42de990d2459f68a9d4e3998.vir,1
051f213ccb845ba5e7911a2e3a261fa6.vir,1
0521471d17317dbf03f6bfc8e93409aa.vir,1
052ac05b49e05bee128e5a17a1311cea.vir,1
052b07a458ac36ce84e981e97b0d398c.vir,1
05374b33d453e1600a507429f048479b.vir,0
053a0a70fa53852dc6722a893568bbbe.vir,1
054867ab7e7c74d3a5d00ef2e5b342a9.vir,1
0548ec34b925301d1916e2e2e7c2079a.vir,0
054d060a83ec5357c7e68c00c4e6294f.vir,1
05502239e5de574081e07212aba1cce1.vir,1
05511e981e9678565ea48a569a78cfba.vir,1
05523402b286f4a1136ce5d8216e9cab.vir,0
05535d7723cdfb2c686c4b1db7afa2c9.vir,1
0558744b907f3fc1df4045e16c73f829.vir,1
055a7d0d8cf41baa0436a2fd4f4a0bab.vir,0
0564468a0fd0dcb5662b51eb931beeda.vir,1
056742350e24099b35ee22232198ec6a.vir,1
056b36a8629835f14e49e8032a27c235.vir,0
057c9d8b96d91ffcadff06cb28e9568f.vir,1
05842e0e297bb2a7231f816f34fdf053.vir,0
05906ed252b5647f6e522425537b21cc.vir,1
059d2f67bc3535550c82e66e34b26eb1.vir,1
05a034766b8fb2a65998917af42e8554.vir,1
05a207e1758a06d517f3226e7af5e543.vir,0
05ab41f9d72fc82601950365df05f295.vir,1
05ba306afb8f982390c29565b52bd70c.vir,1
05bdd6c66ed9e27148a03cafa316621e.vir,0
05cc146ea3ac983de158e8c27be9ef82.vir,1
05ce9965a7385bbf97221343a5c15113.vir,0
05d271abcece5687c2f997e73ad5009b.vir,1
05e65a7689932b304c79aaefc34fa405.vir,1
05e6d49d39145db03cbbff672e12e6aa.vir,1
05e7d288431b7fba08fbced4cb3e27d1.vir,1
05e9bdc1679fac7d3debdea0ab752bf4.vir,1
05f842a992b2b18c3b4a9d215ec9e7d2.vir,0
05fd1625d95dc8d6426f4730675476f0.vir,1
060654e79889e01bc7d4f257adefc363.vir,1
060f2739b294b8dfff30ddf8aae89c6e.vir,1
0610b99c276c8a8ddf497e2c5178d01b.vir,1
061c4be37ff82057bb634123c8a1013f.vir,0
061eb8912a0087c3627dd918c1e64c95.vir,1
0622e7395e7132e388cc6ec572733814.vir,1
063386627d9bd0f07f448b0478e9d27e.vir,0
063a9efc0efef8b8830acee81c146ebf.vir,1
063c99c265bd33f28bfa991487163d6b.vir,1
064423731b55427f2192e094a8c1ceb1.vir,1
064687cef50825a52bca99b6d8c66da4.vir,0
064b6c69968cf44a032952c2912d7a8b.vir,1
064e097aa9e16e803ce0b4dd0bf8d647.vir,1
06539e928e6de4345daea4189712247c.vir,1
065915dadab6131697b46bb61cb79ee0.vir,1
06600d7feff0ad008528ff1f2b32eea0.vir,1
0663bd857f2e45e55a372e794fecb5c9.vir,0
0669616810aeae81d838fc2284376c7d.vir,1
066fba33dd6d022ff7d24d00f9a11232.vir,0
0671bd33ccb6034a3b2da0c00e78c1e0.vir,0
0673cf925b0ff799b9dd5bae744e5486.vir,1
067fea39ad1d7b1aa975548991c78ac6.vir,1
0685d841a0479c06379f765b2e1cde6c.vir,0
068c618194bce381c5450c854eee8f0a.vir,1
0693bb2961d4f5e00df98f5df38fc0ad.vir,0
06aed4285e983ae7a72ce5c7e7754824.vir,1
06b4cb5d5dee1fedbdbf7579fd8dfcdf.vir,1
06b960824a4d8837d109dde1a4c30e45.vir,0
06c5e2fae72cb12f580bf8f45464cac8.vir,1
06c8f0c7c08ee49f2660411446530354.vir,0
06c9e3fb7efe80b5c88895edac1f15c9.vir,1
06d641cf904591978ff1ba15608f70fc.vir,1
06d830ca0796ed0376a2c111457907b0.vir,1
06ddcfbb7f193f9442fa90856a44723a.vir,1
06f06bb6c0c6d3efe5287ba00b0b8672.vir,1
06f704395a9060a6b0f7bd99f5b1e3f0.vir,1
0701aba1dfa3221ec5c9bb967e271166.vir,1
0703c55056092dffde55ce59b8a5a993.vir,0
070ae1908610c204513e45d8953435d0.vir,0
07163462d51beb39ebfd40ef571fe519.vir,1
071b9aeb817b157ab880acdb3db66b8c.vir,0
0737c45a432c04bb7c2107c5fce91e96.vir,1
073d0ec04367e3416236834330d7b210.vir,1
073e568218dd996f21e28142806ec2db.vir,0
0740c8cbdc7015f633daa2272f0e52af.vir,1
07492f5b0d0fdc0ec8bb9a5a7a9dd184.vir,1
07516b3be36c1b8905d0ea4be6d59ae3.vir,1
07606a57b9cb9843bcb37f2dcfd553ae.vir,0
076e1eb713fe5f20c29f32e3a8db120b.vir,1
076f72831c8ffc79979934474f1e3d86.vir,0
077a139dba7f784186bec151bf1a2fda.vir,1
078048f517790288f063c76ce3cc8a68.vir,0
0781fc1fd068535e50e37961806ae4b6.vir,1
0786b3bc42f44cf439fb67294ef651a8.vir,0
07898d67c8bfdb6becb12a9bb4255ff4.vir,1
078ec6fcd5c4439f4d035edf9ae672b4.vir,1
07a348a860c962c044e694fd4bbfe367.vir,1
07ac3fef0eb04b65cd9dbd70f68290a7.vir,0
07ae1c53421d61e795f2d54e39156a15.vir,1
07bbf07189b4e072af071f5599e443fb.vir,0
07c09898cda50c232f1ac844fa5e1019.vir,1
07cbaaf526992b671005aadac861b79b.vir,1
07d17e171d13ffb89106482de7103e53.vir,0
07ec6ef1fe517d82e3932540cf6bbd6b.vir,0
07f2a0206b795f977056a190cf866383.vir,1
07f301f076b979c0d5fe40690ddbcbdc.vir,1
08068dcd77c5e2fd80fb1380866cca8e.vir,1
0813e69f9c94bb8e1a72364a81e9827f.vir,0
0814fed24543e1d276cc27d819cdb7b6.vir,0
081589a741ac651cb98af08322c39784.vir,1
08208b0776cda14daeb1fd3d4e3257a0.vir,1
0822a39cbd7c5f4d4fd10ccde6ee657a.vir,0
083643b4cdf3f75322239068a3a793f0.vir,1
083a1adf50888df4a0182fe7eb281533.vir,1
083e3862d5aba580e337b990f0102f7f.vir,0
0850a0b9cf38aca47f9cc618e4f98852.vir,1
0855004b1bf0c1f9d99c75ba69e0b01e.vir,0
085a916bc5af233db8fd5da9adcec7dd.vir,1
085d4d123061ae9284aa3461461e0750.vir,1
0868b7a327584657c88cc280dfda9e20.vir,1
08877f4359ac699c55355d74be2fa028.vir,0
088db835512ff401079f1e97fe50df8e.vir,0
088f438a4ec7bbda57b889e98c502f94.vir,1
08906a6f921a9c557d1dba05ed275a4b.vir,1
089d1d1342b821e716a43f272ec41d8a.vir,1
089f869108fe20a32585fe42a28e1ed0.vir,0
08ac7a544c02cced6cfa0d7441d28dcd.vir,1
08b248fc460970016e1c588701289de0.vir,1
08b91a2b33de9e8b0fb46c480980e999.vir,0
08ba2e770d552fea1b3fd779d2acf7b7.vir,1
08c4d85708d3ae2cb729a90b08cf4694.vir,1
08cfb74344c804ed60b4cc99b043bcf2.vir,0
08d78d9d5d754f29ecadc5faee5512b4.vir,1
08d925ddfd462b5166a6f86972f3ce05.vir,1
08e00ca51e07f8e50493a49d3ac03754.vir,1
08e01c89ec86745bb56a692b30ee9b08.vir,0
08e17a04f87df45b5d56d981096ca33c.vir,1
08e6c8d71c79d69f093ee7244f95ace7.vir,0
08ebe642d9aad484df4ea9377fb596e1.vir,1
08f3cc3d45003448c16c2dd578e546ca.vir,1
08f7d805e9bc8bcf0283c990830f17d3.vir,1
08f9deacc8982a4ae196b3a2a4bfecf3.vir,1
08fcfa22e13e4616d9725d8f4756db6d.vir,1
09010a76db332eda636cce2c5082bf67.vir,1
09049fa2c6e596370377554f3041d421.vir,0
090e34e11f43a3642636511a0a6bb41f.vir,1
0913b71890e662f4dc7c5946fa45a7c4.vir,0
091ab34b029701794a4e63d0c92cd940.vir,1
09210bbf0c3bb26a2b925db19378ce4d.vir,0
092141b45a2e9299efbeb6d6b695c926.vir,0
092309bd58aa88509b9adc125988d0ea.vir,1
092e4348648144fcae3069d2edb86932.vir,1
092fef05e10fdfa2fdc79c5bcd1d1a3a.vir,1
0937d988f7e68f5b674be7f5fb5b4d50.vir,1
093f7075e34e7a162f32cefdc41a06b9.vir,1
094ce5f02ed7763e12f1c00a033806a7.vir,0
096046f7ce5e8825cb35eb20ffc2cae9.vir,0
09656fc9b6cb209f65b3cbccb5a80c72.vir,1
0967fca1089010a0d892071bacd1b7b1.vir,1
096d33ca76d17a845ec29fb995f6f537.vir,1
09725caf5fe349e14b9e070839b6426a.vir,1
09794269ecf71fff6bb98c83b6cf49a2.vir,1
097b5f57246d90e1395721aa86d03c53.vir,1
097bb086f4933f2d934f36976bb9f6c2.vir,1
097d14e30b84d8783b4844437310870f.vir,1
097f0155ffd7ceec53d747ee71f9f2b6.vir,1
098393b540f985a8c86f19b3e37ccc5a.vir,0
098dc9b5983565315e81ffe3844d8825.vir,0
0994a8b6950f1f40476a0955d96abb83.vir,1
09988c0e1cc626016af557e615cbded0.vir,0
09a0ee5adff78c9767100dc79d12772a.vir,0
09a5af108ed2aeb4ee36e217997dba1c.vir,1
09a69de69a5961651b06abfb0cdc433a.vir,1
09ae288569befe2824e2b83528dfa09c.vir,1
09b1fd84ee664676597a9085108ecaad.vir,1
09b40091b3d8e70544610c6e25e5cdd3.vir,0
09bd8115d60d30abdd739edf873614f8.vir,1
09be69e3341d6cbfdb92906c01a5876b.vir,0
09c0ce1c61a286319e03779c76eb8dae.vir,1
09c54778b3674f53c9fad70cfc422932.vir,1
09d29870b38dabc1573f5c134ffb9b21.vir,1
09d3b7d04f78c021adeb0a67449e35ab.vir,1
09d8706017394e663e65757d7f19a678.vir,0
09e8a1d5fc61011e720da926eef0ded3.vir,1
09ed3aa4ec7229a1e438249aabf5859f.vir,1
09f0351dfce179fb9ba101dfc337eb5d.vir,0
09ff3895fcd18c2effbc3843635f0fd3.vir,1
0a0b58a987cbd27ec540fdd36dcf868b.vir,1
0a1f2b58b49f1abddeba7a657ed7837e.vir,1
0a21d8c6a06abba647c3686e4d8c44d7.vir,0
0a239302f82b2cd4faa958ab08239eab.vir,1
0a3cb0958a9ad483b535dde4e2bb170b.vir,1
0a3e50d6f065819fdf95caec21d3e74c.vir,0
0a47bf5ed3d6d3f277401f1c680155eb.vir,1
0a6ae8cb4689f3173140bdff37526d19.vir,1
0a6f2a10610379b06466195f708128d2.vir,0
0a75a1543e4c79c47f771febfc396266.vir,1
0a7c44d4009b925dd338faf81ffb1b0f.vir,0
0a8958c8489deb3f7c8cf02d60358aac.vir,1
0a963eb4ee4b6157f18babe08bd1c5b7.vir,1
0a9a26489f4d6de37dd4bc833230115e.vir,0
0a9f7fab67bfce7ca7e2fc49b7d6cbfd.vir,1
0aa53bc2f54799ae9e9948f9c85de4b0.vir,1
0abb7ba61e0ffe9343fcde2c0ca50185.vir,0
0abed3657829ccd604841a0be62e0d2a.vir,1
0abf528f8b6385997df76b19855b2f44.vir,1
0abfaf5936b0565bdad835196c198475.vir,1
0aca17a43eacc8346d769bb4a4f80975.vir,1
0ad1ef54da6505d35823f28dc0298876.vir,0
0ae097ee1dc8d5471b51ab6137307df4.vir,1
0ae84c1446d2f367bcb0c115289b8aee.vir,0
0aee95765b09b9ab30c685df0dc58d42.vir,1
0aff302334005d67ac38efd93d7a7d7a.vir,0
0b01c882d854d41a499702b9aec6897e.vir,1
0b04c7c3dfd557082c1df8aca0cbff02.vir,1
0b0e395fea7cf7068f66a22a6791cf2e.vir,0
0b1aadfb37d891f14cc4de031a7df056.vir,1
0b1f423128004e291ace475043518eac.vir,0
0b284eb4d77e69520974be9284268a19.vir,1
0b2b0f6209fd8f81e44221b1f46ab07f.vir,0
0b2b9d59171e2dbf64378dac4cc88dbd.vir,1
0b32ba6d58416bc70f4a3263e2926081.vir,1
0b3a540123f5f8568a843203b9baa4d2.vir,1
0b3bf028e7a3de589ccedd48a38a6017.vir,0
0b4338b2dc6c322ae4747cf30dc09a22.vir,1
0b4560f7ccb11811558ae63beba746f7.vir,1
0b476fc48f51a1ec143714c2ddb5f21e.vir,1
0b5206d110864e80164ca47416a45dfb.vir,1
0b56ad1e8394b85f8a5e7e1021fe8823.vir,1
0b659587b8dbef09b8fe3d0017f19880.vir,0
0b67cf4deb0db41fbca9f1425d05f805.vir,1
0b68d08d730188907aee34bd4407d676.vir,1
0b79306c7c81ee178f6b031a27f9edff.vir,1
0b7f166237a09f4872a365539f5cbf60.vir,0
0b871777d09db67380f65da8f08ac766.vir,1
0b9a170b8d0ebc9ab50e14972cba87cd.vir,1
0b9b7375c31579c05419c842794cd646.vir,1
0b9eceee66201b7fb4f6a1f0a9639a73.vir,1
0ba4460157470d351402c33a4fd79fa6.vir,1
0ba5af1d6b1ceeda46546699e033e0ef.vir,0
0baa8fd86332faeeee05464a5857e509.vir,1
0bb9025865e4e7cbf7e49a5287878769.vir,1
0bbbbdddcd8601a2341a839b6efcb6f5.vir,1
0bbd668928cdab6c00d9985cabb36019.vir,0
0bbedc7865ecb272be7d25fb49ac81cd.vir,1
0bc6d5af8c2c79ee679659b152974ffa.vir,1
0bcc97cf4d5548fc14f17a7b62f55d92.vir,0
0bccc5fd54a00ad9a9c5289a2f9d98be.vir,1
0bd0e2317874824800293cac34776c76.vir,1
0bd2569b086aabeeb0c3ec658fe42d4c.vir,1
0bd7a7b56379b0a4f59209bebeabe55f.vir,0
0be89cf75f58c3d7f8ad8d7e95a0bd44.vir,1
0be8cf98bb6a7640a725efadcad9ef1f.vir,1
0bee0960624434acc261e583b4d644bd.vir,1
0befb212f2c19e73321cef58fdba7458.vir,1
0bf3be9d59a7e0ee6056cb90c72f20d5.vir,0
0bf412ed216d645275f65dad5941e964.vir,1
0c042a3b6ca24f78ef5e06f590512cd0.vir,1
0c05c9485bba143dc9c4ba32bb7530a2.vir,1
0c135cd701430ea8201cfcdd6e0dde30.vir,1
0c14ac19b7bc8ec4be31995d03d39abf.vir,0
0c234147537ed26e88bd5b936da51826.vir,1
0c24a881a6fa4fe1f434c2cb72622c1f.vir,1
0c265a9471b2ec06cb033c956ce814ae.vir,1
0c308fa2c3b40118768d3e004deb759d.vir,1
0c3eb701ab6e2f4cc34f5062879ac8f1.vir,0
0c4130cf66fcecbb37945f83dc5e335a.vir,0
0c4b1fb78a2369ea71792edc7ca29941.vir,1
0c543e723ca7b02b03cb4673c10afc64.vir,1
0c549cc63f1580a5988ed7fd686eb1ab.vir,0
0c5508da96a24172cded9c0e1a9ba473.vir,1
0c580264e32922ed2ffbd8810b3cc9d7.vir,1
0c58f18bc09a4cfb85322447c71a6af4.vir,1
0c6911e9cb7038b61864fcc1046d678d.vir,1
0c6ff48e41eed1bc3b2764205c5b20b7.vir,0
0c723f813765884db54ac07685dfaaa8.vir,0
0c84bb4f97bcafaa27c8b840c6b06d9f.vir,0
0c89e9f709d5898bb57e585272f5b355.vir,1
0c91d8a4cd8cdd8e64920faf42bc59b7.vir,1
0c96bea809dc721d85672fe6573d3b0a.vir,1
0c972969bb31b930038fb4e0c93db6d1.vir,1
0c9c54e865a624df19f8ef7b1f9fea1e.vir,0
0c9d6320d58f1452cf7a301211a5214a.vir,1
0ca301e2820a1a3b500261ac6f68041f.vir,0
0cabb23f3bf614235fe6f8d76ae3e7ff.vir,1
0cb2e230a0e08703794f253f2b0fd69a.vir,1
0cb957fa3551e356fc28de8f31d20507.vir,1
0cba36eebe0380024fc9291043beb95c.vir,0
0cc951883f2e5a04a17c0c626574fea1.vir,1
0cc9640ddabeca58c093e2a507d9f340.vir,1
0cd2a4e9896bb4796e2d002446f2fa62.vir,1
0cd53e098c3bf5ff1e7323d80f65fb46.vir,0
0cd8ddbed9420ad731f5f629d67b1fb7.vir,1
0ce28847c11325de7407c5d9eca4850e.vir,1
0ce5195f75254e585e9f9bd99a3fa08a.vir,0
0cf4c449ca13aa17c73b1e29b46cdf85.vir,1
0cfd3ec8312de38d0608d55670f2cd61.vir,0
0cffff0f87f531dfaa28371fb83b5afc.vir,1
0d09272e69e472bb69243209125e0125.vir,0
0d09ef686b2a6ef4ae9a43236e244590.vir,1
0d116962bc6ea824534f198d64674f9f.vir,1
0d253026a91ffefa0a6fe447bafa034c.vir,1
0d35ee354dd6eaa9c1bb6a1d0ae00020.vir,1
0d3a30e1a697189ddb9fde83b33a4ef3.vir,1
0d3c674fa8700d919576a50b9845a254.vir,0
0d4974b133abf242d5a471a6e0b8a86f.vir,1
0d586ffdf18e11b98d5eeeb9c26d08d0.vir,1
0d595cfafafb0cdcc5e309a4c0233854.vir,0
0d61c73555acfd48423de87d1892b55b.vir,1
0d6323a1cfb62a8f768c9c6f4d89dbc6.vir,1
0d6917628d1e397754b2030dd645b6d2.vir,1
0d6ae837113faa60417c7ad581477a3a.vir,1
0d7070ace9f1191ff4b28548811e110a.vir,1
0d71bd9ed9b1089426450d1925e8ab7f.vir,1
0d7caafa6040f114cdbe2af4460177ee.vir,1
0d7d77c8fa26e94a0cf89b91a04e93a6.vir,0
0d85843821de8b75fa8ed512ca67fd67.vir,1
0d8b20c8e24e23acae24a90f196beeff.vir,1
0d8dbe5543a0487f182c6b04e9d3ad26.vir,1
0d917e7c5fb7059af5bc1f9d64a86f8d.vir,1
0d92eb6526c91405c3575c67e7d243e3.vir,0
0d993434eb6918cfaefefa3057ad5ed4.vir,1
0d999af0f25bcbc2d3a70ab0e4937e15.vir,0
0da3a9b4edaa0296ca9517b01f41d4e4.vir,1
0dbc57fd1a0a7e6549d3c74365292b77.vir,1
0dc086d75e7df8b6cc7cdbb1fbf1bc6c.vir,0
0ddb144bc8bf11226bd820ceef0e958d.vir,1
0ddcc154a68ff0650c1d18c575076127.vir,1
0ddd921ecbf4a31392a2a05cfc70405b.vir,1
0dddff2af97319ed46e698977778fb06.vir,1
0ddee35f7a83cd2465ee6e21bd2a0f4d.vir,1
